driver_id,name,phone,vehicle_id,area_id,status
1279,Rohit,8646743235,29151.0,19842.0,ACTIVE
17929,Meera,,18563.0,27265.0,INACTIVE
16678,Kavita,8040876572,6481.0,28378.0,ON_TRIP
16658,Manoj,8979128016,10203.0,8528.0,ACTIVE
25215,Nita,9366888802,17286.0,25276.0,INACTIVE
28969,Amit,8464238200,8404.0,14060.0,ON_TRIP
9626,,9634188959,28803.0,25737.0,ACTIVE
20541,,9839840531,17865.0,19082.0,ON_TRIP
22090,Amit,9860939318,19986.0,24205.0,ACTIVE
7829,,7363985766,14814.0,25303.0,ACTIVE
23274,Dinesh,9700648579,24614.0,22706.0,ACTIVE
28746,Rohit,8265683731,27162.0,21452.0,ACTIVE
3059,Priya,7378837748,15398.0,6951.0,ON_TRIP
17702,Deepak,8047977810,24806.0,6731.0,ACTIVE
27386,Amit,8930409647,11290.0,16464.0,ACTIVE
27369,Meera,8507671009,13996.0,25970.0,ACTIVE
9574,Amit,7626012909,26583.0,16921.0,INACTIVE
22497,Suresh,7858818254,22155.0,28544.0,ACTIVE
28548,Ravi,9578799255,,3310.0,ON_TRIP
28957,Vijay,8735779437,26169.0,19996.0,ON_TRIP
27185,Ashok,7489744882,20947.0,26085.0,ACTIVE
22982,Ashok,8105580461,5527.0,9999.0,INACTIVE
5721,???,8409003587,29335.0,11903.0,ACTIVE
3821,Kavita,9452993668,13268.0,6705.0,ON_TRIP
9633,Ravi,9789894184,10327.0,18849.0,ACTIVE
18115,Dinesh,8403669859,24089.0,20556.0,ACTIVE
26971,Dinesh,8108459876,15966.0,11311.0,ACTIVE
21913,Vijay,7022055228,3029.0,26761.0,ACTIVE
12702,Pooja,8979884374,15267.0,6564.0,ACTIVE
5980,Amit,7140332756,13591.0,10380.0,ACTIVE
12111,Ravi,8620791529,28203.0,19406.0,ON_TRIP
4891,Rahul,8359564813,2948.0,17112.0,INACTIVE
17084,Nita,7713320101,5602.0,13090.0,ACTIVE
9116,Anjali,8870513883,15132.0,109.0,ACTIVE
24386,Nita,8222897306,6291.0,24883.0,ON_TRIP
17032,???,9537109597,10313.0,9999.0,ACTIVE
3972,Shweta,,29230.0,25914.0,ACTIVE
8619,,7253319008,3556.0,14886.0,ACTIVE
19638,Sunita,8211673215,26543.0,21994.0,ACTIVE
8232,Amit,7964865604,264.0,16576.0,ACTIVE
14333,Amit,7130235518,16374.0,12970.0,ON_TRIP
2768,Suresh,,20880.0,20816.0,INACTIVE
5221,Anjali,8542332546,29151.0,29155.0,ACTIVE
29969,Ashok,7807012379,8814.0,18603.0,ACTIVE
1838,Ashok,9034159836,5021.0,21891.0,ON_TRIP
15952,,9510731650,21040.0,11736.0,ACTIVE
17823,Priya,123,346.0,27210.0,ACTIVE
28377,Dinesh,9328216690,,12159.0,ACTIVE
22223,Sanjay,8090441103,8248.0,3497.0,ACTIVE
8529,Rahul,9732628430,18858.0,9328.0,ON_TRIP
13518,Shweta,8567861225,3822.0,28269.0,
10388,Sunita,7082078248,27724.0,7039.0,ON_TRIP
16798,Rohit,7660370237,14272.0,2144.0,ON_TRIP
16119,Rekha,7028446341,19534.0,22945.0,ON_TRIP
19115,,7602659530,24014.0,23678.0,ACTIVE
15336,Rahul,9138659802,27284.0,19381.0,ON_TRIP
29473,Vijay,8038238574,12908.0,6463.0,ACTIVE
15092,Rekha,9084390384,10126.0,1878.0,
21354,,9469172843,8060.0,14002.0,ACTIVE
16905,Kavita,7270645166,20895.0,12967.0,ACTIVE
11636,Shweta,7504820633,11688.0,29106.0,ON_TRIP
12806,Meera,7331246960,666.0,15439.0,ON_TRIP
8715,Arjun,8388215208,3836.0,24850.0,ACTIVE
12028,,9234796489,7533.0,8798.0,
14892,Kavita,8527932513,6165.0,23156.0,
10257,???,8152978245,25177.0,10500.0,ACTIVE
2933,Pooja,9181885274,9190.0,14840.0,ON_TRIP
5454,Manoj,9267592019,25568.0,7589.0,ON_TRIP
6004,Sunita,8806831576,17120.0,17547.0,ACTIVE
6152,Manoj,9622303447,12640.0,14345.0,ON_TRIP
13739,Amit,8908027930,10563.0,4004.0,ACTIVE
4590,,8611926631,12915.0,8595.0,ACTIVE
16380,Sunita,9289477540,15958.0,11022.0,ACTIVE
9382,Ashok,7301508590,17591.0,19472.0,INACTIVE
27825,Pooja,9409848147,13946.0,7897.0,ACTIVE
6281,Kavita,9155186419,2241.0,10584.0,ON_TRIP
25369,Manoj,8320417484,24213.0,6712.0,ACTIVE
9993,Suresh,8715021879,11379.0,26229.0,ACTIVE
16504,Pooja,8204040954,,26184.0,ACTIVE
17847,Neha,7140669195,23557.0,-1.0,ACTIVE
25675,Arjun,9048113647,14236.0,11595.0,ACTIVE
14951,Ramesh,9739086965,23107.0,12899.0,ACTIVE
28945,Ramesh,9180994666,19823.0,9999.0,ACTIVE
26572,Nita,7172458886,10693.0,16159.0,ACTIVE
2919,Arjun,9021145796,4017.0,7877.0,INACTIVE
5658,Kavita,9082868533,24150.0,17023.0,ACTIVE
20949,Dinesh,7118910591,25473.0,2932.0,ACTIVE
6290,Priya,7734599558,9899.0,22211.0,ON_TRIP
16362,Anjali,7711457609,15792.0,28697.0,ACTIVE
12484,Shweta,7691336484,7702.0,18044.0,ACTIVE
9684,Vijay,8239644837,15179.0,16753.0,ON_TRIP
13703,Nita,9605438534,9527.0,4959.0,INACTIVE
5387,Vijay,7661049293,781.0,6193.0,INACTIVE
5228,Nita,7199423305,13182.0,19262.0,ACTIVE
19852,Dinesh,7915238463,,,ACTIVE
5983,Suresh,9338242526,23051.0,4909.0,INACTIVE
17438,Ravi,7829698737,4758.0,16845.0,ACTIVE
29611,Sanjay,7260690394,2599.0,10398.0,ACTIVE
27821,Dinesh,9669805120,28290.0,14487.0,ACTIVE
29870,Deepak,9461734624,3667.0,22043.0,INACTIVE
27960,Rahul,7801020761,,9723.0,ACTIVE
22623,Arjun,8515505329,5020.0,12004.0,
27348,Meera,8737847071,15763.0,18109.0,ACTIVE
20141,Kavita,9999999999,18575.0,3280.0,ACTIVE
2901,Manoj,8011410977,3382.0,15082.0,ACTIVE
6135,Suresh,9324072095,20520.0,16462.0,ON_TRIP
19866,Neha,9215492766,20029.0,10943.0,ON_TRIP
10139,Nita,7706888611,5864.0,7500.0,ACTIVE
24493,Rahul,8034874727,23781.0,21142.0,ON_TRIP
22942,Sanjay,8077427481,-1.0,10161.0,ACTIVE
3663,Ashok,,24022.0,2642.0,INACTIVE
26359,Geeta,8520276002,26127.0,6629.0,
3028,Arjun,9991372129,23094.0,14928.0,ACTIVE
6025,Vijay,8507390764,14044.0,20799.0,ACTIVE
7496,,7286423459,25785.0,29582.0,ACTIVE
13801,Shweta,9529388066,13595.0,25667.0,ACTIVE
3428,Shweta,9281682324,9620.0,474.0,ACTIVE
29265,Ravi,invalid,13707.0,12698.0,ON_TRIP
1228,Dinesh,7037601127,4712.0,25095.0,INACTIVE
6363,Neha,7058429623,14967.0,15417.0,ACTIVE
16988,Anjali,9492480968,15020.0,7015.0,ON_TRIP
11457,Manoj,9718630315,20818.0,29504.0,ON_TRIP
23301,Manoj,8811982839,29103.0,26483.0,ACTIVE
24983,,8477583340,5134.0,17126.0,ACTIVE
2533,Neha,7749034119,20272.0,12797.0,ACTIVE
24967,Suresh,9165583075,21270.0,7706.0,INACTIVE
16071,Vijay,,29680.0,16035.0,ACTIVE
24436,Ramesh,7534606649,27534.0,11764.0,INACTIVE
7614,Ramesh,7362517460,27019.0,10771.0,ON_TRIP
4321,Rahul,9526196805,6911.0,18828.0,ON_TRIP
6910,Manoj,8409962250,27297.0,15799.0,
267,Rahul,9614254083,10780.0,19709.0,ON_TRIP
9316,Geeta,9831791837,0.0,9999.0,ACTIVE
24860,Deepak,7146763918,13980.0,27663.0,INACTIVE
18423,Suresh,9745967508,85.0,26539.0,ACTIVE
11698,???,8146917955,12399.0,12276.0,ON_TRIP
20242,,9160362648,14193.0,13045.0,ON_TRIP
2458,Anjali,9463694313,8326.0,14363.0,ON_TRIP
15994,Neha,7449447604,28876.0,28384.0,ON_TRIP
26203,Neha,8566513603,6253.0,6491.0,ACTIVE
5865,Suresh,7570224956,20840.0,,INACTIVE
6217,Meera,8228552451,19164.0,20249.0,ACTIVE
13245,Rekha,9823208073,6237.0,9892.0,ACTIVE
4903,Ravi,9172343553,2653.0,24603.0,ON_TRIP
18761,Neha,9887138289,26874.0,8690.0,INACTIVE
29383,Nita,8654588921,8266.0,10309.0,INACTIVE
23262,Meera,9352376926,9558.0,25123.0,ACTIVE
15876,Vijay,8032560934,26580.0,23577.0,ACTIVE
