user_id,name,phone,email,address,created_at
1279,Ashok,7159295604,ashok5023@gmail.com,Bengaluru,2024-01-13
17929,Sanjay,9442189786,invalid@,Kolkata,2024-07-21
16678,Neha,,neha5178@outlook.com,Lucknow,2023-12-15
16658,Arjun,9493414699,arjun2176@outlook.com,Chandigarh,2023-03-08
25215,Manoj,,manoj2894@outlook.com,Mumbai,2024-04-12
28969,Ramesh,8255665149,ramesh3334@gmail.com,Udaipur,2024-06-27
9626,Shweta,,shweta9473@yahoo.com,Pune,2023-01-21
20541,Sanjay,7227145538,sanjay8231@gmail.com,Bengaluru,2024-07-05
22090,Neha,9201540867,neha1840@outlook.com,Mumbai,2024-02-20
7829,Sanjay,7222209087,sanjay266@yahoo.com,Lucknow,2024-06-04
23274,Ramesh,8340279521,ramesh5375@gmail.com,Bhopal,2024-12-06
28746,Ravi,9947291321,???,Jaipur,2023-04-27
3059,Sunita,7764875261,sunita210@outlook.com,Ahmedabad,2025-05-16
17702,Shweta,9445224555,shweta6849@outlook.com,Chandigarh,2023-08-04
27386,Amit,9808383194,amit3524@outlook.com,Pune,2023-03-26
27369,Neha,7688881351,neha5678@outlook.com,Ahmedabad,2023-08-29
9574,Anjali,8431453700,anjali8142@outlook.com,Jaipur,2024-08-31
22497,,8841682488,manoj4622@outlook.com,Mumbai,2025-03-08
28548,Deepak,8175071541,deepak289@yahoo.com,Surat,2023-12-02
28957,Kavita,7290247997,,Hyderabad,2023-06-15
27185,Geeta,7083176503,geeta3343@outlook.com,Lucknow,2023-02-13
22982,Manoj,12345,manoj7597@outlook.com,Jaipur,2023-11-04
5721,Sanjay,8738934949,sanjay962@yahoo.com,Ahmedabad,2023-12-16
3821,Rohit,9701718299,rohit2547@yahoo.com,Unknown,2023-05-29
9633,Priya,7130479288,priya4735@yahoo.com,Delhi,2024-02-02
18115,Sunita,7812028275,sunita31@outlook.com,Delhi,2023-07-10
26971,Pooja,7313766189,pooja2204@gmail.com,Udaipur,2025-01-18
21913,Anjali,7575984632,anjali3311@gmail.com,Lucknow,2023-06-25
12702,Kavita,7595653789,kavita8145@outlook.com,Bengaluru,2024-05-13
5980,Ashok,9367373899,ashok2176@yahoo.com,Pune,2025-04-08
12111,Sunita,8508133781,sunita6215@outlook.com,Jaipur,2023-11-27
4891,Rekha,9379993177,rekha7733@yahoo.com,Bengaluru,2023-07-16
